9/26 GS.Arbiter.DIFF,,,,,,,,,,,
,HomeTeam,AwayTeam,,,,,,In GS,In Arbiter,,Note
1,BORDENTOWN FC JAGUARS 2011,COLLINGSWOOD TRAVEL WILD 2011,,,,,,X,,,
2,CHERRY HILL SC BLUE ARMY 2012,MOORESTOWN SC BLACK DRAGONS 2012,,,,,,X,,,
3,CHERRY HILL SC UNITED BOYS 2014,MEDFORD SC FORCE 2014,,,,,,X,,,
4,Hammonton YSA HAMMONTON HEAT BLUE 2013,HADDONFIELD SC FIRE 2013,,,,,,X,?,,BLUE or SILVER?
5,Hammonton YSA HAMMONTON HEAT SILVER 2013,HADDON TWP RED HAWKS 2013,,,,,,X,?,,BLUE or SILVER?
6,HARRISON SC LIGHTNING 2013,MOORESTOWN SC GOLDEN EAGLES 2013,,,,,,X,,,
7,MAPLE SHADE SC BLUE FLAMES 2009,Atlantic United Soccer Club Atlantic United Premier Kickers 2009 B,,,,,,X,10 ?,,
8,HAMMONTON HEAT BLUE 2013,HADDON TWP RED HAWKS 2013,,,,,,?,X,,BLUE or SILVER?
9,HAMMONTON HEAT SILVER 2013,HADDONFIELD SC FIRE 2013,,,,,,?,X,,BLUE or SILVER?
10,MAPLE SHADE SC BLUE FLAMES 2009,ATLANTIC UNITED PREMIER KICKERS 2009 B,,,,,,,X,,